title,perex,label
Unai Emery reveals what he told Arsenal players at half-time of Wolves defeat,It was a hugely disappointing night for the Gunners.,Reaction
Sport24.co.za | Emery clings to Champions League hopes after Wolves inflict more away-day pain,"Unai Emery refused to give up on Arsenal&#039;s Champions League hopes after seeing his side embarrassed by Wolves in a defeat at Molineux.",Reaction
AC Milan vs Lazio: Gattuso Akui Rossoneri Payah,"Gennaro Gattuso tak menyangkal AC Milan bermain buruk saat menjamu Lazio di semifinal Coppa Italia. Rossoneri kepayahan di kandang, dan akhirnya tersingkir.",Reaction
"Frenkie de Jong: &quot;Het voelt zelfs als een kleine vakantie voor ons&quot;","Ajax won dinsdagavond met 4-2 van Vitesse, waardoor de Amsterdammers de landstitel voor het grijpen hebben.",Reaction
Pep Guardiola şi-a elogiat rivala la titlu. Mesajul transmis jucătorilor după victoria din derby-ul cu Man. United,"Pep Guardiola şi-a lăudat rivala la titlu, Liverpool, după victoria cu 2-0 a lui Manchester City din derby-ul oraşului, cu United, de pe Old Trafford, care i-a apropiat pe &quot;cetăţeni&quot; de un nou titlu în Premier League.",Reaction
"&#039;Nieuw&#039; Feyenoord dient zich aan in Breda: &#039;Geen geld voor grote aankopen&#039;","De supporters van Feyenoord kregen woensdagavond in Breda een glimp van het &#039;nieuwe&#039; eerste elftal te zien. Met tieners als Tyrell Malacia, Orkun Kökcü en Dylan Vente in de gelederen werd er met 0-4 gewonnen bij NAC Breda.",Reaction
Manchester United vs Man City: Forget social media and haircuts – United must ask if Paul Pogba is really worth it?,"The off-field irrelevancies have nothing to do with what the £89m midfielder actually gives Manchester United, and the time has come for the club to genuinely consider if they should persist with him",Reaction
Оле-Гуннар Сульшер: «Манчестер Юнайтед» подвела разница в классе,Встреча прошла на стадионе «Олд Траффорд».,Reaction
"Solskjaer: &#039;Man Utd thua vì Man City chơi hay hơn&#039;",HLV Man Utd tâm phục khẩu phục sau trận thua Man City 0-2 ở Ngoại hạng Anh tối 24/4.,Reaction
Marcus Rashford claims Manchester United players won’t call each other out after Manchester City defeat,"United fans won&#039;t like to hear this.",Reaction
Man Utd ace Marcus Rashford says what all fans want to hear after Man City defeat,MANCHESTER UNITED ace Marcus Rashford has been brutally honest in his assessment of the defeat to Manchester City.,Reaction
"Slavia byla ve všem lepší, uznal Ščasný. Fanoušci ho po pohárovém vyřazení znovu vyhání z klubu","Ve finále českého poháru budou fotbalisté Ostravy a Slavie. Baník doma zvítězil nad Bohemians 1:0 a sešívaní v derby zdolali Spartu 3:0. Slávisté, kteří vedou ligovou tabulku, mají stále šanci, že poprvé v poválečné éře získají dvě nejcennější domácí trofeje.",Reaction
Solskjær etter tapet for City: - Spillerne ga respons,"(Manchester United - Manchester City 0-2). Ole Gunnar Solskjær taper og taper. Men han var fornøyd med responsen fra egne spillere og publikum på Old Trafford. – Men City er på et annet nivå enn oss, innrømmet han.",Reaction
"Manchester United vs Manchester City: Marcus Rashford critical of derby display: &#039;It&#039;s not right&#039;",City won 2-0 at Old Trafford courtesy of second-half goals from Bernardo Silva and Leroy Sané,Reaction
"Nach Pleite im DFB-Pokal - Max Kruse tobt im TV und schimpft über Boateng: &quot;Da soll er mich nicht vollquatschen&quot;",Max Kruse hat seiner Wut nach dem Ausscheiden mit Werder Bremen im DFB-Pokal-Halbfinale gegen den FC Bayern im TV Luft gemacht. Er fand klare Worte für die Elfmeter-Entscheidung und berichtete von einer Auseinandersetzung mit Jerome Boateng.Von FOCUS-Online-Redakteur Florian Weiß,Reaction
"&quot;Das ist lächerlich&quot;: Elfmeterpfiff sorgt nach Bayern-Sieg für Diskussionen",Werder Bremen fühlt sich nach dem umstrittenen Elfmeterpfiff für Bayern München um das erste Pokalfinale seit 2009 gebracht. Die Reaktionen fielen am Abend entsprechend emotional aus.,Reaction
"&quot;Lächerlich&quot; - Kruse nach Pokal-Aus fassungslos über Elfer","Mit 3:2 setzte sich der FC Bayern nach einem intensiven und hitzigen Fight im Halbfinale bei Werder durch und trifft jetzt im Endspiel in Berlin auf RB Leipzig. (Das Spiel zum Nachlesen im LIVETICKER)Nach dem Spiel drehte sich nahezu alles um den entscheidenden Elfmetertreffer von Robert Lewandowski, nachdem Kingsley Coman von Theodor Gebre Selassie leicht gerempelt worden war.Eine äußerst fragwürdige Entscheidung, für die vor allem Max Kruse kein Verständnis zeigte. (Spielplan des DFB-Pokals)SPORT1 fasst die Stimmen von ARD, Sky und aus der Mixed Zone zusammen.Max Kruse (Werder Bremen): &quot;Das ist lächerlich. Wenn das ein Elfmeter ist... Wozu haben wir den Videobeweis? Das ist ein ganz leichter Kontakt, ich brauch nichts mehr sagen.",Reaction
"Werder-Bremen-Kapitän Max Kruse nach Pokalaus gegen Bayern München bedient: &quot;Boateng soll mich nicht vollquatschen&quot;",Nach einem hitzigen Pokalspiel köchelten die Gemüter während der Interviews noch ein wenig weiter.,Reaction
Голкипер «Анжи» Дюпин: «Достали разговоры насчет денег»,Вратарь «Анжи» Юрий Дюпин подвел итоги матча 25-го тура чемпионата России с ЦСКА (0:2).,Reaction
"Pastrňák si rýpl do zpěváka Biebera. Postup Toronta? Dneska ne, napsal mu","„Milý pane, prosím dohlédni na Austona Matthewse, Mitche Marnera a celé Toronto Maple Leafs v sedmém zápase proti Boston Bruins,"" napsal si dnes na svůj Instagram kanadský zpěvák Justin Bieber, fanoušek tradičního zámořského mužstva.",Reaction
Rick Zamperin: Toronto Maple Leafs’ playoff failures continue,"For three years running, the Toronto Maple Leafs have enjoyed a very successful regular season only to follow it up with a tremendously disappointing opening round playoff exit.",Reaction
"Sharks rally after Pavelski&#039;s scary injury to make 2nd round",The San Jose Sharks put together a most memorable comeback to ease the pain from so many postseason failures,Reaction
Perron a suivi attentivement le 7e match Vegas-SJ,"Comme plusieurs amateurs de hockey, l'attaquant des Blues de St. Louis était un spectateur attentif du match ultime opposant les Golden Knights de Vegas aux Sharks de San Jose, mardi soir.",Reaction
Marchessault se vide le coeur,L’attaquant des Golden Knights de Vegas Jonathan Marchessault n’a pas mâché ses mots après la défaite en prolongation de son équipe lors du septième match de la série contre les Sharks de San Jose.,Reaction
"Golden Knights&#039; Jonathan Marchessault rips controversial penalty in Game 7: &#039;It&#039;s a f---ing joke&#039;",San Jose's Game 7 comeback was fueled by four power-play goals following a controversial major penalty,Reaction
"Jedno z nejlepších utkání v historii NHL, jásal po obratu tahoun Sharks Hertl","Útočník Tomáš Hertl se výraznou měrou zasloužil o to, že San Jose poprvé v klubové historii otočilo sérii play-off ze stavu 1:3 na 4:3. V posledních třech utkáních 1. kola bojů o Stanley Cup proti Vegas, kdy Sharks hrozilo vyřazení, dal slávistický odchovanec pokaždé gól. V rozhodujícím sedmém duelu zvítězilo San Jose po strhujícím obratu 5:4 v prodloužení.",Reaction
"Kapitánova krev odstartovala hokejový zázrak. Dokázali jsme to, řval Hertl","Když zvyšoval přesně v polovině zápasu na 2:0, měl Cody Eakin z Vegas Golden Knights nakročeno k tomu, aby byl jedním z hrdinů utkání, ve kterém jeho tým přejde přes San Jose do 2. kola bojů o Stanley Cup. Místo toho přišlo kontroverzní vyloučení do konce zápasu, během kterého Sharks předvedli jeden z nejúžasnějších hokejových obratů historie a nakonec vyhráli 5:4 v prodloužení. Co se to tedy v úterý v Kalifornii stalo?",Reaction
"Coppa Italia: Correa stende il Milan, per la Lazio è la 10ma finale","Inzaghi supera Gattuso, cori razzisti da tifosi biancocelesti",Reaction
"Milan-Lazio, Gattuso: &quot;I biancocelesti hanno meritato la finale&quot;","Gennaro Gattuso ammette i meriti della Lazio: &quot;Ha giocato meglio, dobbiamo prenderci le nostre responsabilità e guardare avanti in campionato&quot;.",Reaction
"Wainwright halts the Brewers&#039; bats as Cardinals win 5-2 to earn three-game sweep",The St. Louis Cardinals beat the Milwaukee Brewers 5-2 on Wednesday to complete a three-game sweep.,Reaction
Lazio beats AC Milan 1-0 to reach Italian Cup final,Lazio won 1-0 at AC Milan on Wednesday to reach the Italian Cup final,Reaction
Hoskins taunts Mets with 34-sec HR trot in win,"Rhys Hoskins homered off reliever Jacob Rhame and taunted him with a slow jog around the bases a night after Rhame buzzed him with two fastballs, and the struggling Philadelphia Phillies beat the New York Mets 6-0 on Wednesday.",Reaction
Letzter - Wacker droht der Abstieg: Innsbrucker Einsamkeit,"Nach dem 0:4-Debakel gegen Altach geht es ans Eingemachte, die Fans bleiben zu Hause – aber ""es geht immer weiter""",Reaction
Don Didi - Kühbauer machte müde Rapidler in der Pause munter,"Rapid-Coach nach 4:2 in Hartberg: &quot;Sehr statisch gespielt&quot; in erster Hälfte – Hartberger Hoffnung auf Klassenerhalt intakt",Reaction
"TV: AIK-stjärna spydde framför domaren: &quot;Jag fick inte stopp på det&quot;","SOLNA. I andra halvlek mot Häcken spydde Tarik Elyounoussi precis framför domaren Glenn Nyberg.Men efter segern förklarar AIK-stjärnan att han mår bra.- Jag skulle bara rapa men så kom det ut något och så fick jag inte stopp på det, säger han till Fotbollskanalen.",Reaction
"Norling efter Alms slakt av Häckens insats: &quot;Har du redan gett upp?&quot;","SOLNA. Andreas Alm menar att Häcken kan glömma SM-guldet om de spelar som de gjorde mot AIK.Hans sågning på presskonferensen efter matchen fick motståndartränaren Rikard Norling att hoppa till.- Har du redan gett upp?, frågade Norling.- Lite så, svarade Alm.",Reaction
"[ACL현장 기자회견]패장 우라와 감독 &quot;전북은 경험이 풍부하고 강했다&quot;","&quot;전북은 경험이 풍부하고 강했다.&quot;패장 우라와 올리베이라 감독은 &quot;예상대로 어려운 경기였다. 전북은 경험이 풍부하고 강했다. 우리도 최선을 다했다. 좋은 장면도 있었다. 마무리가 잘 안 돼 유감스럽다&quot;라고 말했다. 또 그는 &quot;실점 과정에서 미스가 있었다. 실점으로 졌다. 상대가 실점해서 우리도 득점했다. 현대 축구는 미스로 승패가 갈린다&quot;라고 말했다. 우라와가 24일 전주월드컵경기장에서 벌어진 전북 현대와의 2019년 아시아챔피언스리그 조별리그 G조 4라운드 원정 경기서 1대2로 졌다. 우라와는 승점 4점에 머물러 16강 진출을 장...",Reaction
Сергей Семак: «Дожали «Динамо» через «не могу»,Главный тренер «Зенита» Сергей Семак поделился мнением о победе над «Динамо» (2:0).,Reaction
Retro-Malmö sänkte  serieledaren Frölunda,"Malmö sänkte serieledaren Frölunda. Matchen slutade 3-2 efter en dramatisk avslutning. – Säsongens skönaste vinst, säger Fredrik Händemark. ",Reaction
Γιασικεβίτσιους: «Δεν είχαμε καθαρό μυαλό και βγήκε η απειρία μας»,Ο προπονητής της Ζαλγκίρις εξήγησε τους λόγους της ήττας από τη Φενέρμπαχτσε στο Game 3. ,Reaction
"Werder Bremen woest en verbijsterd na &#039;belachelijke&#039; Bayern-pingel","&#039;Wat voor nut heeft die VAR nu eigenlijk?&#039;",Reaction
Trenerzy po meczu w Gliwicach,"Piast Wygrał z Zagłębiem Lubin 1:0. Poznaj opinie trenerów po tym emocjonującym spotkaniu.
Artykuł Trenerzy po meczu w Gliwicach pochodzi z serwisu Dziennik Sport.",Reaction
"Lou Williams: Clippers star credits &#039;arrogance&#039; for sensational Game 5 win over Warriors",LOU WILLIAMS was at his best once again for the LA Clippers to force a Game 6 against defending champions Golden State Warriors.,Reaction
Piken mot Frölunda: ”Hörde inget alls”,"GÖTEBORG/STOCKHOLM. Fullsatt i match ett i Scandinavium – och fullsatt i match två i Globen.Publiktrycket har varit enormt i finalserien mellan Frölunda och Djurgården.Men Dif-backen Robin Norell skickar en pik mot göteborgarna.– Frölunda hörde jag inget alls av. Jag visste inte ens att det var några från deras sida där om jag ska vara helt ärlig, säger han.",Reaction
Jet lagged Azarenka ousts Zvonareva in Stuttgart,"Belarusian Victoria Azarenka made a winning return to Stuttgart with a 7-5 6-4 victory over Russia&#039;s Vera Zvonareva in what was an engrossing battle in the first round of the Porsche Tennis Grand Prix on Wednesday.",Reaction
"Super Rugby Round 11: You ‘twos’, you lose…","Twos all round last week, as this crazy year of Super Rugby found yet another way to punish the tipping panel. So here’s a challenge: I want one of you to pick the exact opposite to us this week and we’ll see who does best. And what was weird about everyone getting twos was that […]",Reaction
"Fiorentina:Montella,Atalanta?Ci crediamo",23 i convocati viola in vista della semifinale di Coppa Italia,Reaction
"Video: Zahanbujúci výkon, kritizoval Gattuso výkon AC Miláno v odvete semifinále Coppa Italia",Lazio Rím v semifinále Coppa Italia vyradilo AC Miláno. MILÁNO 25. apríla (WebNoviny.sk) – Trápenie … Čítať ďalej,Reaction
Sassuolo - Bologna 3-1 - skrót (ZDJĘCIA ELEVEN SPORTS). WIDEO,Sassuolo - Bologna w 12. kolejce Serie A.,Reaction
Ομπράντοβιτς: «Συγχαρητήρια σε Ζαλγκίρις και Σάρας» (video),"Ο Ζέλικο Ομπράντοβιτς πέρασε στο Final Four με τη Φενέρμπαχτσε,…",Reaction
Σλούκας: «Γι’ αυτό δουλέψαμε όλη τη χρονιά…»,"Ο Ελληνας γκαρντ δήλωσε ότι είναι περήφανος για την ομάδα του και επισήμανε ότι ο ίδιος και οι συμπαίκτες του δούλεψαν σκληρά, προκειμένου η Φενέρ να πάρει το εισιτήριο για το final 4.",Reaction
"Gustafsson om Pekings inledning: &quot;Inne i en tung period&quot;","STOCKHOLM. Länge såg IFK Norrköping ut att ta hem tre poäng mot Djurgården.Men det blev till slut ett kryss, efter en kvittering på tilläggstid.- En poäng får ses som godkänt, säger managern Jens Gustafsson.",Reaction
"Atalanta, Gasperini: «Champions League e Coppa Italia, vogliamo entrambe»","L&#039;allenatore dei bergamaschi ha parlato dopo aver conquistato la finale di TIM Cup: «Abbiamo il diritto di giocarci le nostre chance per l&#039;Europa. C&#039;è tempo per pensare al 15 maggio»",Reaction
"Atalanta, Gasperini: «Meglio Champions o Coppa Italia? Entrambe»","L&#039;allenatore dei bergamaschi ha parlato al termine della semifinale di ritorno contro la Fiorentina: «Questa era la sfida più delicata di tutte. Adesso andiamo tranquilli fino al traguardo»",Reaction
Лестер Сити — Арсенал. Накануне,Football.ua анонсирует матч двенадцатого тура АПЛ между Лестером и Арсеналом.,Reaction
Svensken bakom Bostons nya seger: ”Jäkligt skönt”,"LOS ANGELES. Boston är känt för sin fysiska och oblyga hockey. Inget skönspel, men ofta effektivt.Men när man i natt, svensk tid, vann den första matchen i kvartsfinalen över Columbus var det svensk finess som avgjorde.Två magnifika framspelningar av Marcus Johansson, 28, lyfte Bruins till en 3-2-seger.– Vilken makalös passning till det avgörande målet. Han satte pucken på mitt klubblad, berömde matchhjälten Charlie Coyle i en tv-intervju med NBC Sports på isen direkt efter slutsignalen.",Reaction
"Lozano krijgt bezoek van &#039;dader&#039; van Willem II: &quot;Hij zat in zo&#039;n machientje&quot;","Freek Heerkens leeft mee met Hirving Lozano. De Mexicaanse aanvaller van PSV raakte donderdag geblesseerd door een tackle van de Willem II-verdediger, die zich na afloop meldde in de Eindhovense kleedkamer.",Reaction
"Charlie Weberg efter allsvenska debuten: &quot;Skönt att komma in i startelvan och få spela&quot;",Charlie Weberg gjorde sin första allsvenska match när han fick chansen från start bredvid Andreas Granqvist i mittlåset hemma mot Sundsvall. Han stod för en klart godkänd insats i en match där HIF dominerade större delen av tiden.,Reaction
Så sa tränarna efter HIF-Sundsvall,Efter 1-1 mellan HIF och GIF Sundsvall framträdde tränare Per-Ola Ljung och Joel Cedergren på en presskonferens.,Reaction
"Kalle Joelsson efter 1-1 mot Sundsvall: &quot;Det hade kunnat bli mer än en poäng idag&quot;","Kalle Joelsson fick priset som matchens bäste spelare när HIF spelade 1-1 hemma mot GIF Sundsvall.
– Vi gör en bra match. Vi förtjänar poängen vi får om inte mer, säger han efteråt.",Reaction
Эйбар — Реал Мадрид. Накануне,Football.ua представляет вашему вниманию анонс поединка 13-го тура Ла Лиги.,Reaction
Tunga beskedet: ”Har fått en hjärnskakning”,"Derby på söndag mellan Djurgården och Hammarby. Då kommer blåränderna få klara sig utan sin lagkapten Marcus Danielsson som kolliderade med sin egen målvakt Tommy Vaiho under matchen mot Norrköping.  – Han har definitivt fått en hjärnskakning, säger Djurgårdens tränare Thomas Lagerlöf. ",Reaction
”Vi hade fått rulla  ut honom i rullstol”,"Tre matcher på sex dagar - och derby mot Hammarby på söndag.Då valde Djurgården att vila Astrit Ajdarevic mot IFK Norrköping.– Det fanns inte så mycket liniment i hela världen för att starta honom. Vi hade fått rulla ut honom i rullstol i så fall, säger Kim Bergstrand skämtsamt.– Han kryddar lite, säger Ajdarevic och skrattar.",Reaction
"Brad Marchand s&#039;en prend à Riley Nash","La peste des Bruins de Boston Brad Marchand n&#039;a pas mâché ses mots au sujet du jeu physique de son ancien coéquipier Riley Nash à la suite du premier match de la série contre les Blue Jackets de Columbus. « Je ne pense pas qu&#039;il ait frappé qui que ce soit en deux ans avec nous, » a lancé Marchand à propos de Nash, au site The Athletic. Nash a asséné une mise en échec à l&#039;attaquant des Bruins David Krejci en troisième période du premier match. L&#039;entraineur Bruce Cassidy a expliqué que son joueur était évalué sur une base quotidienne pour une blessure au haut du corps et il a écarté la possibilité que l&#039;athlète de 32 ans ait été victime d&#039;une commotion cérébrale.",Reaction
"Now up to speed, Blue Jackets try to rebound against Bruins",Boston Bruins will try to hang on to the momentum after taking 1-0 series lead over Columbus Blue Jackets,Reaction
Rafael Nadal: The BIZARRE demand star made to coaches after Barcelona Open win,RAFAEL NADAL texted his coaches and told them to set up a practice court immediately after his Barcelona Open victory against Jan-Lennard Struff.,Reaction
"Biasanya 91 Poin Cukup untuk Juara, tapi Tidak bagi Liverpool",Liverpool mencetak rekor poin di Liga Inggris usai menggulung Huddersfield Town. Tapi perolehan angka itu masih belum menjamin Liverpool akan juara.,Reaction
Barcelona Open: Rafael Nadal claims comfortable win to reach semi-finals,Rafael Nadal eases into the semi-finals of the Barcelona Open with a straight sets victory over Jan-Lennard Struff.,Reaction
"Sport24.co.za | Klopp hails &#039;outstanding&#039; Liverpool after Huddersfield rout","Jurgen Klopp saluted his &quot;outstanding&quot; Liverpool title chasers after they stormed back to the top of the Premier League with a rout of Huddersfield.",Reaction
Vendsyssel øjner overlevelse efter tredjeplads,"Fredag sikrede Vendsyssel tredjepladsen i nedrykningspulje 2, og holdet øjner nu overlevelse i Superligaen.",Reaction
"Salah și Mane au făcut show, dar Klopp i-a avertizat imediat după meci: &quot;Va trebui să discutăm despre asta!&quot;","Liverpool a revenit pe primul loc în Premier League, după ce învins-o pe teren propriu, cu 5-0, pe Huddersfield, în primul meci al etapei a 36-a.",Reaction
Klopp cảnh báo Salah và Mane sau trận thắng Huddersfield,HLV Klopp khẳng định sẽ nói chuyện với Salah và Mane về vấn đề danh hiệu Vua phá lưới Premier League mùa này.,Reaction
"Titelsause nach Neuanfang - Adler machen &quot;Lust auf mehr&quot;","Erstmals seit 2015 sind die Adler Mannheim wieder deutscher Eishockey-Meister. Die Ära der Münchner ist erst einmal durchbrochen. Was der Titel für die nächsten Jahre bedeutet, war den Champions um Dennis Endras erst einmal &quot;wurscht&quot;.",Reaction
Liverpool 5-0 Huddersfield: Mohamed Salah has made a big step - Jurgen Klopp,"Jurgen Klopp says Mohamed Salah &quot;has made a big step this season&quot; after his double against Huddersfield lifted him into pole position for the Golden Boot.",Reaction
"Bayer Leverkusen - Bosz gerät ins Schwärmen: &quot;Fußball,  den ich liebe&quot;","Augsburg (dpa) - Mit einem Mitternachtsimbiss in den Händen verließ Bayer Leverkusens Trainer Peter Bosz hochzufrieden die Augsburger Arena. &quot;Es hat für mich als Trainer auf der Bank Spaß gemacht, meine Mannschaft zu gucken&quot;, sagte er nach dem 4:1 (1:1) der Fußball-Bundesliga beim FC Augsburg. Die M",Reaction
HLV Incheon: ‘Tinh thần chiến đấu của Công Phượng đã giảm’,HLV tạm quyền CLB Incheon United Lim Joong-yong lý giải không đưa Công Phượng vào danh sách đăng ký thi đấu ở trận hòa Seongnam 0-0 tại vòng 9 K League chiều 27/4 là do thể lực của Phượng không đảm bảo và tinh thần chiến đấu đã suy giảm.,Reaction
"Pijnlijke nederlaag voor Tottenham Hotspur: &#039;Maar we zijn klaar voor Ajax&#039;","Tottenham Hotspur ging zaterdagmiddag in eigen huis onderuit tegen West Ham United, maar middenvelder Eric Dier denkt niet dat het Champions League-duel met Ajax van komende dinsdag te vroeg komt. Tottenham verloor met 0-1 van West Ham.",Reaction
Genoa Primavera al terzo posto: battuta la Fiorentina 4-0,"FIRENZE - Il Genoa Primavera vince 4-0 sul campo della Fiorentina e agguanta il terzo posto in classifica, portandosi a 16 punti e sorpassando la Roma.",Reaction
"Почеттино о шансах «Тоттенхэма» на топ-4: «Это бой и гонка, где осталось еще два матча»",Главный тренер «Тоттенхэма» Маурисио Почеттино прокомментировал поражение от «Вест Хэма» (0:1) в 36-м туре АПЛ.,Reaction
"Треньорът на Дортмунд обяви Байерн за шампион, но не прости на съдиите","Наставникът на Борусия (Дортмунд) Люсиен Фавър развя бялото знаме, след като тимът отстъпи с 2:4 от Шалке 04 в Бундеслигата и направи Байерн (Мюнхен) абсолютен ...",Reaction
Mauricio Pochettino fears home defeat shatters Spurs’ spirit for Ajax,"• Tottenham manager worries over team mood for Tuesday• ‘It’s a setback,’ for hopes of top-four finish and facing AjaxMauricio Pochettino feared that the 1-0 home defeat by West Ham had not only inflicted a blow to Tottenham’s top-four hopes but changed the mood at the club before the first leg of their Champions League semi-final against Ajax on Tuesday.Michail Antonio scored the goal for West Ham, which was the first Spurs had conceded at their new stadium, and it was also the first time in five matches that Pochettino’s team had done anything other than win here. Continue reading...",Reaction
Bundesliga - Bei der Niederlage gegen Schalke offenbart der BVB zwei altbekannte Schwächen,"Borussia Dortmund verliert ein hitziges Revierderby gegen den FC Schalke 04. Die Ereignisse überschlagen sich, jedoch wird bei genauerem Hinsehen deutlich: Der BVB unterliegt aufgrund zweier Schwächen, die über die ganze Saison hinweg nicht eingestellt werden konnten.",Reaction
LIVE! VfB empfängt Gladbach - Plea vergibt Riesenchance,Der VfB Stuttgart hat mit seinem neuen Trainer Nico Willig gleich ein Lebenszeichen gesendet und Borussia Mönchengladbach mit 1:0 bezwungen. Der erste Sieg seit dem 5:1 über Hannover (24. Spieltag) lässt die Schwaben im Abstiegskampf wieder hoffen. Die Fohlen konnten den Frankfurter Patzer gegen Hertha (0:0) nicht nutzen und bleiben mit drei Punkten Rückstand auf die Hessen Fünfter.,Reaction
